canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.267606240177031,actif,12.268274,53.965946,1.4478376405781341,1.27261968281392
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.638272163982407,actif,5.079639,55.83734,0.8038045009612861,0.6093531151596017
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.366531544420413,actif,33.460117,43.62416,1.5383514458270247,1.3096054662980494
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.090016305060155,actif,33.523182,42.570118,0.8943183062101774,0.6463388986437316
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.450996737974211,actif,11.509776,54.84771,1.3413340759691745,1.3583613812083777
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.599980364934842,actif,4.8594,55.696182,0.6973009363523258,0.6950948135540589
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.332547047110046,actif,11.379527,54.90391,1.3654409212785272,1.2655890757392636
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.630042392653946,actif,5.053553,55.82385,0.7684703161635902,0.6022287520860851
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.139661993429007,actif,11.3611,54.945824,1.3164734347909794,1.3635648311964665
Brc1cccc(Nc2ncnc3cnccc23)c1,7.291196817055418,actif,6.4786587,53.080154,1.2162689851675097,1.08137401707569
Brc1cccc(Nc2ncnc3ncccc23)c1,6.16120441260318,actif,0.924841,54.43717,0.9062029147113949,0.8567403877620732
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172,actif,0.047912996,55.14948,0.44269567826433537,0.8799315528421666
Brc1cccc(Nc2ncnc3sccc23)c1,7.455931955649724,actif,0.5870501,55.53296,0.9054338380217023,1.021051035899481
Brc1cccc(Nc2nncc3ccccc23)c1,4.0,inactif,-5.1802487,54.713394,-0.07874848633992419,0.1426999818774721
Brc1cccc(Nc2nnnc3ccccc23)c1,6.0,actif,-4.9774685,54.931423,0.20811458871607919,0.4791138404787804
Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204498794,actif,-4.17667,39.481743,0.21627643052336987,0.20010119142396177
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,7.054039296422431,actif,-52.914677,-39.616417,-1.3550765095630302,-1.0720999828611626
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.471083299722345,actif,-52.126503,-40.12881,-1.5753525783391273,-1.092104391297652
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,7.413412695328245,actif,-53.37902,-40.955,-1.4194735702353836,-0.9891989594340519
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,7.484126156288321,actif,-53.431232,-41.030983,-1.2449752376271097,-0.7805390952759517
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,7.294136287716081,actif,-52.896763,-39.65904,-1.3550702047998633,-1.1597237232522613
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.527243550682788,actif,-52.20658,-40.258057,-1.5787825044369093,-1.2304086763086528
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,7.511449283499555,actif,-52.184948,-40.212788,-1.57534627357596,-1.1797281316887507
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,7.787812395596042,actif,-53.179375,-40.835396,-1.3866972281794223,-1.0173653296922298
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,6.982966660701219,actif,-52.739708,-39.785522,-1.1464651062564337,-1.4783966300597227
C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,5.999132278468773,intermediaire,-38.797867,-60.652615,-1.7933004894441575,-1.1044542383652196
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,9.494850021680094,actif,64.82096,-39.700302,2.3431350931687946,0.5755837187519199
